# StatCan survey → subject mapping. EDIT THE `subjects` COLUMN (the last one).
#
# The taxonomy is Statistics Canada’s, captured from their subject facet. The assignment is
# ours and is not published anywhere fetchable, so this file is the source of truth for it.
#
# Format: pipe-separate multiple subjects, e.g.  Health|Children and youth
#         leave blank to leave a survey unclassified (shown as unclassified, not guessed).
# Spelling must match the taxonomy exactly; the loader reports anything it does not recognize.
#
# suggest_name    — from the official survey title. Higher precision; a title is a deliberate label.
# suggest_content — from variable text. Lower precision: it filed CHMS under Languages and put
#                   Transportation on CCHS. Offered for reference, not as an answer.
#
survey_group	acronym	records	official_name	suggest_name	subjects	suggest_content
GSS_ESG_12-32	GSS	27298	General Social Survey - Caregiving and Care Receiving (GSS)	Society and community		
CCHS_ESCC	CCHS	14651	Canadian Community Health Survey - Annual Component (CCHS)	Health|Society and community		Health|Transportation
LSIC_ELIC	LSIC	6973				Immigration and ethnocultural diversity|Languages|Labour|Education, training and learning
CIS_ECR_2012-2019_rebased	CIS	6791	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
CHMS_ECMS	CHMS	6658	Canadian Health Measures Survey (CHMS)	Health		
CIS_ECR_2022	CIS	5175	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth
CIS_ECR_2023	CIS	4944	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth
APS_EAPA_2012	APS	3564				Education, training and learning|Indigenous peoples|Languages
SOLMP-EPLOSM	SOLMP	3339	Survey on the Official Language Minority Population (SOLMP)	Languages|Population and demography		Languages|Immigration and ethnocultural diversity|Children and youth|Education, training and learning
GSS_ESG_34	GSS	3187	General Social Survey - Caregiving and Care Receiving (GSS)	Society and community		Crime and justice|Families, households and marital status
LISA_ELIA_2016	LISA	2964				Labour|Families, households and marital status|Population and demography|Education, training and learning
CSD_ECI_2017	CSD	2779	Canadian Survey on Disability (CSD)	Health		Labour|Education, training and learning|Income, pensions, spending and wealth
CIS_ECR_2021	CIS	2689	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth
CSD_ECI_2012	CSD	2626	Canadian Survey on Disability (CSD)	Health		Education, training and learning|Labour
CIS_ECR_2020	CIS	2547	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
SHS_EDM	SHS	2498	Survey of Household Spending (SHS)	Income, pensions, spending and wealth|Families, households and marital status		Income, pensions, spending and wealth|Families, households and marital status|Transportation
CSIT_ECCI	CSIT	2291	Canadian Survey on Interprovincial Trade (CSIT)			Business performance and ownership
CHSCY_ECSEJ_2023	CHSCY	2079	Canadian Health Survey on Children and Youth (CHSCY)	Health|Children and youth		Children and youth|Health|Transportation
CSD_ECI_2022	CSD	2044	Canadian Survey on Disability (CSD)	Health		Labour|Income, pensions, spending and wealth|Education, training and learning
SISPSP_ESIPEP_2019	SISPSP	1991				Education, training and learning|Transportation
APS_EAPA_2006	APS	1985				Indigenous peoples|Education, training and learning|Health|Labour
SLCDC_EPMCC_2014	SLCDC	1856				Health
OCHS_ESJO_2014	OCHS	1850				Education, training and learning|Children and youth
CIS_ECR_2024	CIS	1809	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth
IPS_EAPA	IPS	1732	Indigenous Peoples Survey (IPS)	Indigenous peoples		Children and youth|Education, training and learning|Indigenous peoples|Transportation
CHS_ECL_AllYears	CHS	1730				Housing|Families, households and marital status|Population and demography
SFS_ESF_2023	SFS	1683	Survey of Financial Security (SFS)	Income, pensions, spending and wealth		Families, households and marital status|Income, pensions, spending and wealth|Housing
SIBS_EISE_allyears	SIBS	1656				Business performance and ownership|Science and technology
SAT_ETP_AllYears	SAT	1614	Survey of Advanced Technology (SAT)	Science and technology		Business performance and ownership
LISA_ELIA_2018	LISA	1591				Children and youth|Families, households and marital status|Labour|Transportation
CAFVMHS_ESSMFACM_2018	CAFVMHS	1467				Health
SFGSME_EFCPME	SFGSME	1455				Business performance and ownership
SGVP_EDBP_2023	SGVP	1444	Survey on Giving&#44; Volunteering and Participating (SGVP)	Society and community		Society and community
CHSCY_ECSEJ_2019	CHSCY	1425	Canadian Health Survey on Children and Youth (CHSCY)	Health|Children and youth		Children and youth|Health
CSCSC_ECCC_2019_v1	CSCSC	1371	Canadian Survey of Cyber Security and Cybercrime (CSCSC)	Crime and justice|Digital economy and society		Digital economy and society|Business performance and ownership
CIS_ECR_2019	CIS	1360	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
GSS_ESG_37	GSS	1348	General Social Survey - Caregiving and Care Receiving (GSS)	Society and community		Families, households and marital status|Transportation|Labour
CIS_ECR_2018	CIS	1346	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
MHACS_ESMAS_2022	MHACS	1296	Mental Health and Access to Care Survey (MHACS)	Health		Health
APS_EAPA_2017_NIS_SIN	APS	1258				Labour|Education, training and learning|Languages
BC_CB_K12	BC	1255				Education, training and learning|Languages
SFS_ESF_2019	SFS	1181	Survey of Financial Security (SFS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Families, households and marital status|Housing
LISA_ELIA_2020	LISA	1164				Children and youth|Labour|Transportation|Population and demography
CSCSC_ECCC_2023	CSCSC	1105	Canadian Survey of Cyber Security and Cybercrime (CSCSC)	Crime and justice|Digital economy and society		Digital economy and society|Business performance and ownership
SFS_ESF_2016	SFS	1101	Survey of Financial Security (SFS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Housing
NGES_EFGN	NGES	1075				Labour|Indigenous peoples|Education, training and learning|Languages
APS_EAPA_2017	APS	1068				Education, training and learning|Languages|Labour|Housing
SDTIU_ETNUI_2023	SDTIU	1024	Survey of Digital Technology and Internet Use (SDTIU)	Science and technology|Digital economy and society		Business performance and ownership|Digital economy and society
SSMW_EIST_2020	SSMW	1016	Survey on Sexual Misconduct at Work (SSMW)			Labour|Transportation
SYC_EJC_2010	SYC	1011				Children and youth|Languages|Transportation|Families, households and marital status
LISA_ELIA_2012	LISA	996				Labour|Population and demography|Housing|Education, training and learning
PES_EEP_2024	PES	976				Population and demography|Health|Transportation|Families, households and marital status
CHSCY_ECSEJ_2024	CHSCY	953	Canadian Health Survey on Children and Youth (CHSCY)	Health|Children and youth		Children and youth|Health|Transportation|Population and demography
CIS_ECR_2015	CIS	901	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
PIAAC_PEICA	PIAAC	882	Programme for the International Assessment of Adult Competencies (PIAAC)			Labour|Education, training and learning|Housing
CIS_ECR_2016	CIS	881	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
SDTIU_ETNUI_2021	SDTIU	876	Survey of Digital Technology and Internet Use (SDTIU)	Science and technology|Digital economy and society		Business performance and ownership|Digital economy and society
SSPPS_ESEPP_2018	SSPPS	873	Survey of Safety in Public and Private Spaces (SSPPS)			Crime and justice|Families, households and marital status
CIS_ECR_2017	CIS	861	Canadian Income Survey (CIS)	Income, pensions, spending and wealth		Income, pensions, spending and wealth|Labour
ACS_EEA_2006	ACS	856	Adult Correctional Services (ACS)	Crime and justice		Children and youth|Indigenous peoples|Languages|Transportation
